index,bonus_type,title,year,era,art_type,qid,sitelinks,item_url,image_url,button_path
21,BONUS_ART_021,Laocoön and His Sons,-1,ANTIQUITY,SCULPTURE,Q465762,46,http://www.wikidata.org/entity/Q465762,http://commons.wikimedia.org/wiki/Special:FilePath/Laoco%C3%B6n%20and%20his%20sons%20group.jpg,Art/Interface/Buttons/Resources/ArtMasterpieces/ART_021.tga
22,BONUS_ART_022,Trajan's Column,113,ANTIQUITY,SCULPTURE,Q192784,56,http://www.wikidata.org/entity/Q192784,http://commons.wikimedia.org/wiki/Special:FilePath/Trajan%20column%20%28Rome%29%20September%202015-2.jpg,Art/Interface/Buttons/Resources/ArtMasterpieces/ART_022.tga
23,BONUS_ART_023,Column of Marcus Aurelius,193,ANTIQUITY,SCULPTURE,Q265384,39,http://www.wikidata.org/entity/Q265384,http://commons.wikimedia.org/wiki/Special:FilePath/Colonna%20di%20Marco%20aurelio%20-%20Frontale.jpg,Art/Interface/Buttons/Resources/ArtMasterpieces/ART_023.tga
24,BONUS_ART_024,iron pillar of Delhi,500,ANTIQUITY,SCULPTURE,Q543419,44,http://www.wikidata.org/entity/Q543419,http://commons.wikimedia.org/wiki/Special:FilePath/Iron%20Pillar%20of%20Delhi-Q543419N%20-Mehrauli%20-Delhi%20-DL-161.jpg,Art/Interface/Buttons/Resources/ArtMasterpieces/ART_024.tga
25,BONUS_ART_025,Cyrus cylinder,539,MEDIEVAL,SCULPTURE,Q405008,54,http://www.wikidata.org/entity/Q405008,http://commons.wikimedia.org/wiki/Special:FilePath/Cyrus%20Cylinder.jpg,Art/Interface/Buttons/Resources/ArtMasterpieces/ART_025.tga
26,BONUS_ART_026,Column of Phocas,608,MEDIEVAL,SCULPTURE,Q369075,36,http://www.wikidata.org/entity/Q369075,http://commons.wikimedia.org/wiki/Special:FilePath/Colonna%20di%20Foca%20Forum%20Romanum%20Rome.jpg,Art/Interface/Buttons/Resources/ArtMasterpieces/ART_026.tga
27,BONUS_ART_027,Franks Casket,701,MEDIEVAL,SCULPTURE,Q1400866,21,http://www.wikidata.org/entity/Q1400866,http://commons.wikimedia.org/wiki/Special:FilePath/Franks%20casket%2003.jpg,Art/Interface/Buttons/Resources/ArtMasterpieces/ART_027.tga
28,BONUS_ART_028,Madara Rider,710,MEDIEVAL,SCULPTURE,Q319296,48,http://www.wikidata.org/entity/Q319296,http://commons.wikimedia.org/wiki/Special:FilePath/JE%C5%B9DZIEC%20Z%20MADARY.JPG,Art/Interface/Buttons/Resources/ArtMasterpieces/ART_028.tga
29,BONUS_ART_029,Orkhon inscriptions,800,MEDIEVAL,SCULPTURE,Q334704,35,http://www.wikidata.org/entity/Q334704,http://commons.wikimedia.org/wiki/Special:FilePath/Kyzyl%20orkhon%20inscription.jpg,Art/Interface/Buttons/Resources/ArtMasterpieces/ART_029.tga
30,BONUS_ART_030,Leshan Giant Buddha,803,MEDIEVAL,SCULPTURE,Q205131,60,http://www.wikidata.org/entity/Q205131,http://commons.wikimedia.org/wiki/Special:FilePath/Leshan%20Giant%20Buddha%20%281%29.jpg,Art/Interface/Buttons/Resources/ArtMasterpieces/ART_030.tga
31,BONUS_ART_031,Rök Runestone,900,MEDIEVAL,SCULPTURE,Q472975,32,http://www.wikidata.org/entity/Q472975,http://commons.wikimedia.org/wiki/Special:FilePath/R%C3%B6kstenen%201.JPG,Art/Interface/Buttons/Resources/ArtMasterpieces/ART_031.tga
32,BONUS_ART_032,Along the River During the Qingming Festival,1085,MEDIEVAL,PAINTING,Q714802,27,http://www.wikidata.org/entity/Q714802,http://commons.wikimedia.org/wiki/Special:FilePath/Alongtheriver%20QingMing.jpg,Art/Interface/Buttons/Resources/ArtMasterpieces/ART_032.tga
